id,title,description,category,keyword,answer,graph,ref
1,git 시작하기,현재 디렉터리를 새로운 Git 저장소로 만들어주세요.,Git Start,init,`git` init,"{
    ""graph"": []
}",
2,내 정보 설정하기,현재 디렉터리의 Git 저장소 환경에서 user name과 user email을 여러분의 name과 email로 설정해주세요.,Git Start,config,"`git` config user.name ""유저 이름""\n`git` config user.email 유저 이메일","{
    ""graph"": []
}",main
3,파일 스테이징 하기,현재 변경된 파일 중에서 `achitecture.md` 파일을 제외하고 staging 해주세요.,Git Start,"status, add",`git` status\n`git` add README.md docs/plan.md,"{
    ""graph"": [
        {
            ""id"": ""410b79bff71d5e6ab7ae2d9a94e204c0f83a961e"",
            ""parentId"": """",
            ""message"": ""docs: plan.md"",
            ""refs"": ""HEAD -> main""
        }
    ]
}",main
4,커밋하기,현재 디렉터리 내의 모든 파일을 commit 해주세요.,Git Start,commit,`git` add .\n`git` commit,"{
    ""graph"": [
        {
            ""id"": ""0b6bb091c739e7aec2cb724378d50e486a914768"",
            ""parentId"": """",
            ""message"": ""docs: plan.md"",
            ""refs"": ""HEAD -> main""
        }
    ]
}",main
5,브랜치 만들기,`dev`라는 이름의 branch를 생성해주세요.,Git Start,"branch, switch, checkout",`git` branch dev\n`git` switch -c dev\n`git` checkout -b dev,"{
    ""graph"": [
        {
            ""id"": ""68a11739add85f3150573194c802e93aa1361d11"",
            ""parentId"": ""0b6bb091c739e7aec2cb724378d50e486a914768"",
            ""message"": ""docs: plan.md"",
            ""refs"": ""HEAD -> main""
        },
        {
            ""id"": ""0b6bb091c739e7aec2cb724378d50e486a914768"",
            ""parentId"": """",
            ""message"": ""docs: plan.md"",
            ""refs"": """"
        }
    ]
}",main
6,브랜치 바꾸기,현재 상황을 commit하고 `main` branch로 돌아가주세요.,Git Start,switch,`git` add .\n`git` commit\n`git` switch main,"{
    ""graph"": [
        {
            ""id"": ""68a11739add85f3150573194c802e93aa1361d11"",
            ""parentId"": ""0b6bb091c739e7aec2cb724378d50e486a914768"",
            ""message"": ""docs: plan.md"",
            ""refs"": ""HEAD -> dev, main""
        },
        {
            ""id"": ""0b6bb091c739e7aec2cb724378d50e486a914768"",
            ""parentId"": """",
            ""message"": ""docs: plan.md"",
            ""refs"": """"
        }
    ]
}",dev
7,커밋 메시지 수정하기,"당신은 프로젝트에서 회원가입, 로그인, 회원탈퇴 기능을 담당하게 되었습니다. 
먼저 회원가입 기능을 구현한 다음 테스트 코드를 작성하고 commit을 생성했습니다. 
그런데 commit에 테스트 파일이 포함되지 않았으며, commit message가 ""회원가입 긴ㅇ 구현""으로 오타가 났습니다. 
`signup.test.js` 테스트 파일을 추가하고 commit message를 ""회원가입 기능 구현""로 수정해주세요.",Git Advanced,"status, add, commit","`git` status\n`git` add signup.test.js\n`git` commit --amend\n# 커밋 메시지 수정 편집기에서 ""회원가입 기능 구현"" 으로 수정한 후 저장","{
    ""graph"": [
        {
            ""id"": ""69dbecf5a107a00d7e9811a4622476c46f871fcb"",
            ""parentId"": ""cbc7aa1ae41aab698ca64d9e571fc151f894bbe1"",
            ""message"": ""회원가입 긴ㅇ 구현"",
            ""refs"": ""HEAD -> feat/somethingB""
        },
        {
            ""id"": ""cbc7aa1ae41aab698ca64d9e571fc151f894bbe1"",
            ""parentId"": ""eb8628fb5064ed207b8bcd973747dcf5b7465a12"",
            ""message"": ""A 기능 구현"",
            ""refs"": ""main, feat/somethingA""
        },
        {
            ""id"": ""eb8628fb5064ed207b8bcd973747dcf5b7465a12"",
            ""parentId"": """",
            ""message"": ""Initial commit"",
            ""refs"": """"
        }
    ]
}",feat/somethingB
8,커밋 취소하기,"당신은 회원가입 기능 구현과 테스트 코드를 작성해 ""회원가입 기능 구현"" commit을 생성했습니다. 
그러나 ""회원가입 기능 구현""과 ""회원가입 테스트 코드 작성"" 두 개의 commit으로 나누려고 합니다.
""회원가입 기능 구현"" commit을 취소하고 `signup.js` 파일로 ""회원가입 기능 구현"" commit을, `signup.test.js` 파일로 ""회원가입 테스트 코드 작성"" commit을 순서대로 생성해주세요.",Git Advanced,"reset, add, commit",`git` reset HEAD~1\n`git` add signup.js\n`git` commit -m '회원가입 기능 구현'\n`git` add signup.test.js\n`git` commit -m '회원가입 테스트 코드 작성',"{
    ""graph"": [
        {
            ""id"": ""efaf77ae539a289b8b8e76f8a8289934bd32f8bf"",
            ""parentId"": ""05caa6918c9b406a30bd0412ef5fbef21c52d124"",
            ""message"": ""회원가입 기능 구현"",
            ""refs"": ""HEAD -> feat/somethingB""
        },
        {
            ""id"": ""05caa6918c9b406a30bd0412ef5fbef21c52d124"",
            ""parentId"": ""cea2e002129c7543f13c16f0f970c2b43d74284c"",
            ""message"": ""A 기능 구현"",
            ""refs"": ""main, feat/somethingA""
        },
        {
            ""id"": ""cea2e002129c7543f13c16f0f970c2b43d74284c"",
            ""parentId"": """",
            ""message"": ""Initial commit"",
            ""refs"": """"
        }
    ]
}",feat/somethingB
9,파일 되돌리기,"당신이 코드를 작성하던 중에 실수로 `important.js` 파일을 수정해 변경 사항이 생겼습니다. 
해당 파일을 최근 `commit` 상태로 되돌려주세요.",Git Advanced,restore,`git` restore important.js,"{
    ""graph"": [
        {
            ""id"": ""0ee6f38e438211833c46d42b6acf087ba63d2cf0"",
            ""parentId"": ""7f0f87852fa8225bfa5862b440e48480c339d2aa"",
            ""message"": ""회원가입 테스트 코드 작성"",
            ""refs"": ""HEAD -> feat/somethingB""
        },
        {
            ""id"": ""7f0f87852fa8225bfa5862b440e48480c339d2aa"",
            ""parentId"": ""55f7aab2f31287f6bb159731e5824566c02b582b"",
            ""message"": ""회원가입 기능 구현"",
            ""refs"": """"
        },
        {
            ""id"": ""55f7aab2f31287f6bb159731e5824566c02b582b"",
            ""parentId"": ""9bd1b91fba0c4b644e673a85cefbbf52b51b03e4"",
            ""message"": ""A 기능 구현"",
            ""refs"": ""main, feat/somethingA""
        },
        {
            ""id"": ""9bd1b91fba0c4b644e673a85cefbbf52b51b03e4"",
            ""parentId"": """",
            ""message"": ""Initial commit"",
            ""refs"": """"
        }
    ]
}",feat/somethingB
10,파일 삭제하기,당신은 추적되지 않는 임시 파일을 세 개 만들었습니다. 임시 파일을 모두 삭제해주세요.,Git Advanced,clean,`git` clean -f tmp.js\n`git` clean -f tmptmp.js\n`git` clean -f tmptmptmp.js,"{
    ""graph"": [
        {
            ""id"": ""0ee6f38e438211833c46d42b6acf087ba63d2cf0"",
            ""parentId"": ""7f0f87852fa8225bfa5862b440e48480c339d2aa"",
            ""message"": ""회원가입 테스트 코드 작성"",
            ""refs"": ""HEAD -> feat/somethingB""
        },
        {
            ""id"": ""7f0f87852fa8225bfa5862b440e48480c339d2aa"",
            ""parentId"": ""55f7aab2f31287f6bb159731e5824566c02b582b"",
            ""message"": ""회원가입 기능 구현"",
            ""refs"": """"
        },
        {
            ""id"": ""55f7aab2f31287f6bb159731e5824566c02b582b"",
            ""parentId"": ""9bd1b91fba0c4b644e673a85cefbbf52b51b03e4"",
            ""message"": ""A 기능 구현"",
            ""refs"": ""main, feat/somethingA""
        },
        {
            ""id"": ""9bd1b91fba0c4b644e673a85cefbbf52b51b03e4"",
            ""parentId"": """",
            ""message"": ""Initial commit"",
            ""refs"": """"
        }
    ]
}",feat/somethingB
11,변경 사항 저장하기,"당신이 로그인 기능을 구현하던 중 급하게 버그 픽스 요청이 들어왔습니다. 
새로운 branch를 생성해서 작업하려 했지만, 변경 사항이 있어 branch 이동이 불가능합니다. 
현재 기능 구현이 완료되지 않아 commit하는 것이 껄끄럽기 때문에 commit 없이 변경 사항을 보관하고, ""A 기능 구현"" commit으로 돌아가 `hotfix/fixA` 브랜치를 생성해주세요.",Git Advanced,"stash, log, checkout, switch","`git` stash\n`git` log\n`git` checkout <""A 기능 구현"" 커밋 해시값>\n`git` switch -c hotfix/fixA","{
    ""graph"": [
        {
            ""id"": ""50946bb407490b8aa17a82f55179b05f8ec05274"",
            ""parentId"": ""0ee6f38e438211833c46d42b6acf087ba63d2cf0"",
            ""message"": ""로그인 기능 구현"",
            ""refs"": ""HEAD -> feat/somethingB""
        },
        {
            ""id"": ""0ee6f38e438211833c46d42b6acf087ba63d2cf0"",
            ""parentId"": ""7f0f87852fa8225bfa5862b440e48480c339d2aa"",
            ""message"": ""회원가입 테스트 코드 작성"",
            ""refs"": """"
        },
        {
            ""id"": ""7f0f87852fa8225bfa5862b440e48480c339d2aa"",
            ""parentId"": ""55f7aab2f31287f6bb159731e5824566c02b582b"",
            ""message"": ""회원가입 기능 구현"",
            ""refs"": """"
        },
        {
            ""id"": ""55f7aab2f31287f6bb159731e5824566c02b582b"",
            ""parentId"": ""9bd1b91fba0c4b644e673a85cefbbf52b51b03e4"",
            ""message"": ""A 기능 구현"",
            ""refs"": ""main, feat/somethingA""
        },
        {
            ""id"": ""9bd1b91fba0c4b644e673a85cefbbf52b51b03e4"",
            ""parentId"": """",
            ""message"": ""Initial commit"",
            ""refs"": """"
        }
    ]
}",feat/somethingB
12,커밋 가져오기,"당신은 버그를 해결한 후 ""버그 수정"" commit을 생성했습니다. 
`hotfix/fixA` branch에서 작업을 해야 하는데 실수로 `feat/somethingB` branch에서 작업 했습니다. 
`feat/somthingB` branch 에서 ""버그 수정"" commit을 `hotfix/fixA` branch로 가져오고, `hotfix/fixA` branch를 `main` branch로 merge해주세요. 
그리고 `feat/somethingB` branch에서 ""버그 수정"" commit을 취소해주세요.",Git Advanced,"log, switch, cherry-pick, merge, reset","`git` log\n`git` switch hotfix/fixA\n`git` cherry-pick <""버그 수정"" 커밋 해시값>\n`git` switch main\n`git` merge hotfix/fixA\n`git` switch feat/somethingB\n`git` reset --hard HEAD^","{
    ""graph"": [
        {
            ""id"": ""38bafc899bb9257644ac616ac0075431d8481e83"",
            ""parentId"": ""c01511a8d88b4355d754406ef6ec20aa49d69c5b"",
            ""message"": ""버그 수정"",
            ""refs"": ""HEAD -> feat/somethingB""
        },
        {
            ""id"": ""c01511a8d88b4355d754406ef6ec20aa49d69c5b"",
            ""parentId"": ""ee0765a0f4bd5df20a595100b62c041100d64096"",
            ""message"": ""회원가입 테스트 코드 작성"",
            ""refs"": """"
        },
        {
            ""id"": ""ee0765a0f4bd5df20a595100b62c041100d64096"",
            ""parentId"": ""d342b2a90ea54333b8e04899c25b7847241a3e8f"",
            ""message"": ""회원가입 기능 구현"",
            ""refs"": """"
        },
        {
            ""id"": ""d342b2a90ea54333b8e04899c25b7847241a3e8f"",
            ""parentId"": ""dbf627f91961b1704755be952190b29210fc8f95"",
            ""message"": ""A 기능 구현"",
            ""refs"": ""main, hotfix/fixA, feat/somethingA""
        },
        {
            ""id"": ""dbf627f91961b1704755be952190b29210fc8f95"",
            ""parentId"": """",
            ""message"": ""Initial commit"",
            ""refs"": """"
        }
    ]
}",feat/somethingB
